Tune,Title,Part,Structure
1,Shandon bells,A,"ab, cd; ab, eb."
1,Shandon bells,A1,"ab, cd; ab, eb."
1,Shandon bells,B,"ab, cc; ab, AeAb."
2,The piper's picnic,A,"ab, ac; ab, dc."
2,The piper's picnic,B,"ab, cd; AbAd, eAc."
3,Hartigan's fancy,A,"ab, ac; ab, de."
3,Hartigan's fancy,B,"aAc, bc; aAc, dAe."
4,The yellow flail,A,"ab, cd; ef, gc."
4,The yellow flail,B,"AcAc, AcAd; Aca, AgAc."
4,The yellow flail,C,"Aca, AdAd; AeAf, AgAc."
5,Kitty's rambles,A,"ab, cd; ab, ce."
5,Kitty's rambles,B,"aa, bb; cd, AcAe."
5,Kitty's rambles,C,"BcAc, ab; cAb, AcAe."
5,Kitty's rambles,D,"aBa, bc; Bcd, AcAe."
6,Doctor O'Neill,A,"ab, cd; ab, ce."
6,Doctor O'Neill,B,"Aaa, bAd; Aaa, bAe."
6,Doctor O'Neill,C,"aAa, bc; aAa, bd."
6,Doctor O'Neill,D,"CdAa, BbAd; CdAa, BbAe."
6,Doctor O'Neill,E,"AbAb, AbAd; AbAb, AcAe."
7,Denis Delaney,A,"ab, ac; ab, ac."
7,Denis Delaney,B,"Aaa, bAc; Aaa, bAc."
7,Denis Delaney,C,"BbBb, BbAc; AaBa, BbAc."
8,The walls of Liscarroll,A,"ab, bb; ab, bc."
8,The walls of Liscarroll,B,"AaAa, aAb; bc, AbAc."
9,The pipe on the hob,A,"ab, cd; ab, ec."
9,The pipe on the hob,B,"aAe, AcAe; aAe, AeAc."
9,The pipe on the hob,C,"Aaa, Aaa; AaAd, AeAc."
10,Guiry's favorite,A,"ab, cd; ab, ef."
10,Guiry's favorite,B,"aAb, bc; aAb, AeAf."
11,Malowney's wife,A,"ab, cd; ab, ef."
11,Malowney's wife,B,"aa, AcAd; aa, AeAf."
11,Malowney's wife,C,"ab, AeAd; ab, AeAf."
12,The gold ring,A,"aa, aa; aa, ba."
12,The gold ring,B,"AaAa, AaAa; AaAa, AbAa."
12,The gold ring,C,"ab, cd; ab, cAa."
12,The gold ring,D,"aa, aAa; aa, bAa."
12,The gold ring,E,"aAa, bAa; bb, AbAa."
12,The gold ring,F,"Eba, bAa; Eba, bAa."
12,The gold ring,G,"ab, FbAa; ab, FbAa."
13,The humors of Bantry,A,"ab, cd; ab, cd."
13,The humors of Bantry,B,"aa, bc; AaAb, AcAd."
13,The humors of Bantry,B1,"aa, bc; Aad, eAd."
14,Off to the hunt,A,"ab, cd; ae, fg."
14,Off to the hunt,B,"aa, bc; dAe, AfAg."
15,The highway to Dublin,A,"ab, ac; ad, eb."
15,The highway to Dublin,B,"aAb, aAc; aa, AeAb."
16,When sick is it tea you want?,A,"ab, ac; ab, da."
16,When sick is it tea you want?,B,"ab, cd; AaAb, AdAa."
17,The eavesdropper,A,"ab, cd; ab, ce."
17,The eavesdropper,B,"ab, AcAd; ab, AcAe."
18,Saddle the pony,A,"ab, ac; ad, ef."
18,Saddle the pony,B,"aa, aAf; aAd, AeAf."
19,Humors of Glendart,A,"ab, ab; ab, cb."
19,Humors of Glendart,B,"ab, ac; ab, AcAb."
20,Have a drink with me,A,"ab, ac; ab, ab."
20,Have a drink with me,B,"ab, ac; de, AaAb."
21,The hag with the money,A,"ab, cb; ab, de."
21,The hag with the money,B,"ab, ac; ac, AaAe."
22,I know what you like,A,"ab, cd; ab, cd."
22,I know what you like,B,"aAd, Abb; ac, AcAd."
23,The night cap,A,"aa, bb; aa, cd."
23,The night cap,B,"AaAa, AbAb; AaAa, AcAd."
24,The maid at the well,A,"ab, cd; ab, cd."
24,The maid at the well,B,"ab, AcAd; ab, AcAd."
25,Sergt. Early's jig,A,"ab, cd; ab, ce."
25,Sergt. Early's jig,B,"ab, AcAd; ab, AcAe."
26,Castle Donovan,A,"ab, ca; ab, cd."
26,Castle Donovan,B,"ab, ac; AaAb, AcAd."
27,Jackson's frieze coat,A,"ab, ac; ab, dc."
27,Jackson's frieze coat,B,"aAd, ab; aAd, ab."
27,Jackson's frieze coat,C,"Baa, bb; Baa, bBb."
28,Contentment is wealth,A,"ab, cd; ef, da."
28,Contentment is wealth,B,"aAb, AdAd; ab, aAa."
28,Contentment is wealth,C,"aAa, bAc; Aac, BaAa."
29,Cherish the ladies,A,"ab, cd; ab, ef."
29,Cherish the ladies,B,"aAa, AcAd; aAa, AeAf."
29,Cherish the ladies,C,"BaAa, AcAd; BaAa, aAf."
29,Cherish the ladies,D,"aa, Aeb; cd, eAd."
29,Cherish the ladies,E,"aAf, bDb; DcDd, DeAd."
29,Cherish the ladies,F,"AbAb, AbAd; AbAb, DeAd."
30,Welcome to Cork,A,"ab, cd; ae, fg."
30,Welcome to Cork,B,"ab, cAb; ab, dAg."
31,The widow Brady,A,"ab, ac; ab, dc."
31,The widow Brady,B,"ab, Acb; cAc, dAc."
32,The basket of Turf,A,"ab, ac; ab, dc."
32,The basket of Turf,B,"ab, ac; ab, AdAc."
33,Do you want anymore?,A,"ab, cd; eb, cf."
33,Do you want anymore?,B,"aAc, aAc; ba, AcAf."
34,Galway Tom,A,"aa, ab; aa, cd."
34,Galway Tom,B,"aa, bb; ac, AcAd."
34,Galway Tom,B1,"aa, bb; ac, AcAd."
34,Galway Tom,C,"Aaa, Aab; Aaa, cb."
34,Galway Tom,D,"BaBa, aBb; BaBc, AcAd."
34,Galway Tom,D1,"BaBa, aBb; BaBc, AcAd."
34,Galway Tom,E,"Aaa, AaAb; AaBc, AcAd."
35,Money in both pockets,A,"ab, ac; ab, de."
35,Money in both pockets,B,"ab, ac; dd, eAe."
36,Father Dollard's favorite,A,"ab, ab; ab, cd."
36,Father Dollard's favorite,B,"aAc, aAa; aAc, bAd."
37,Tell her I am,A,"ab, bc; ab, dc."
37,Tell her I am,B,"ab, cAc; ab, AdAc."
38,The mountain boy,A,"aa, ab; aa, cb."
38,The mountain boy,B,"ab, ac; ab, AcAb."
39,A visit to Ireland,A,"ab, cd; ab, ef."
39,A visit to Ireland,B,"Aea, AcAd; Aea, AeAf."
40,Jerry's beaver hat,A,"ab, cd; ab, ce."
40,Jerry's beaver hat,B,"ab, ac; ab, dAe."
41,The tempelhouse jig,A,"ab, cd; ab, ef."
41,The tempelhouse jig,B,"aa, bc; aa, AeAf."
41,The tempelhouse jig,B1,"aa, bc; ad, AeAf."
42,Move up to me,A,"ab, ac; ab, de."
42,Move up to me,B,"aAb, aAb; aAb, AdAe."
43,Paddy whack,A,"ab, cd; ef, gh."
43,Paddy whack,B,"Aca, AcAd; Aca, AgAh."
43,Paddy whack,B1,"Aca, AcAd; AeAf, AgAh."
44,Nell Flaherty's drake,A,"ab, cd; ab, ce."
44,Nell Flaherty's drake,B,"ab, cAd; AaAb, AcAe."
45,Out with the boys,A,"ab, cd; ab, ce."
45,Out with the boys,B,"aa, ab; ac, Add."
45,Out with the boys,C,"AaAa, ab; cAa, AdBd."
46,Katie's fancy,A,"ab, cd; ab, ce."
46,Katie's fancy,B,"aa, ab; AaAb, AcAe."
46,Katie's fancy,C,"ab, cd; ef, gAe."
47,Paddy from Portlaw,A,"aa, ab; ac, da."
47,Paddy from Portlaw,B,"aa, ab; cc, dAa."
48,The miller of Glanmire,A,"ab, cd; eb, cf."
48,The miller of Glanmire,B,"AeAb, AcAd; AeAb, AcAf."
49,The hare in the corn,A,"aa, bc; aa, bd."
49,The hare in the corn,B,"aAb, AbAc; aAb, AbAd."
49,The hare in the corn,C,"aa, AbAc; aa, ba."
50,Daniel O'Rourke,A,"aa, ab; aa, cd."
50,Daniel O'Rourke,B,"aAc, aAb; aAc, bAb."
50,Daniel O'Rourke,B1,"aAc, aAb; aAc, cAd."
50,Daniel O'Rourke,C,"ab, cd; ab, B1cAd."
51,O'Sullivan's march,A,"ab, ac; ab, ac."
51,O'Sullivan's march,B,"aa, AaAa; bAb, AaAc."
52,Tobin's favorite,A,"ab, cb; ab, db."
52,Tobin's favorite,B,"aAb, AcAb; AaAb, AdAb."
53,Banish misfortune,A,"ab, cc; ab, cc."
53,Banish misfortune,B,"Aca, bc; Aca, dAc."
53,Banish misfortune,B1,"Aca, bc; ef, dAc."
53,Banish misfortune,C,"ab, AaAb; AcAc, BdAc."
54,The wheels of the world,A,"ab, cd; eb, cf."
54,The wheels of the world,B,"ab, AcAd; ab, AcAf."
54,The wheels of the world,B1,"ab, AcAd; AeAb, AcAf."
55,Kitty come over,A,"ab, cd; ab, ca."
55,Kitty come over,B,"ab, aAd; AaAb, AcAa."
56,The humors of Cappa,A,"aa, bc; aa, de."
56,The humors of Cappa,B,"aAc, AbAc; aAc, AdAe."
57,The blazing turf fire,A,"ab, ac; ab, de."
57,The blazing turf fire,B,"aa, ab; aa, AdAe."
58,All covered with moss,A,"ab, ac; bd, ec."
58,All covered with moss,A1,"ab, ac; bd, ec."
58,All covered with moss,B,"ab, aAc; ab, cAc."
58,All covered with moss,B1,"ab, aAc; dc, AbAc."
59,The priest's leap,A,"ab, ac; ab, de."
59,The priest's leap,B,"AbAb, AbAc; AbAb, AdAe."
60,The book of rights,A,"ab, cd; ab, cd."
60,The book of rights,B,"ab, cd; ad, AcAd."
61,The humors of whiskey,A,"ab, cd; ab, ef."
61,The humors of whiskey,B,"aAe, aAd; aAe, bAf."
62,Fiddler's heaven,A,"ab, ac; ab, de."
62,Fiddler's heaven,B,"AdAd, AdAc; AdAd, aAd."
63,A night at the fair,A,"ab, cd; ab, dc."
63,A night at the fair,B,"aa, bAd; aa, cAc."
64,Darby the driver,A,"ab, cd; ab, cb."
64,Darby the driver,B,"aa, bc; ad, eAb."
65,John White's mother,A,"ab, cc; de, ff."
65,John White's mother,B,"aAe, bb; ac, de."
66,The humors of Tralibane,A,"ab, cd; ab, ce."
66,The humors of Tralibane,B,"ab, ac; ad, eAe."
67,Connie the soldier,A,"ab, cc; ab, ad."
67,Connie the soldier,B,"aa, bAb; aa, AaAd."
67,Connie the soldier,B1,"aa, bAb; ca, Ad"
68,Out on the ocean,A,"ab, cd; ab, cd."
68,Out on the ocean,B,"aa, bc; Acd, AcAd."
