Tune,Title,Part,Structure
1,Shandon bells,A,"ab, cd; ab, eb."
1,Shandon bells,A1,"ae1, cd; ae2, eb."
1,Shandon bells,B,"A1b1a, bc; A1b1a, AeAb."
2,The piper's picnic,A,"ab, ac; ab, de."
2,The piper's picnic,B,"Aa1Aa2, ab; Abc, dAe."
3,Hartigan's fancy,A,"ab, ac; ab, a1d."
3,Hartigan's fancy,B,"Ab1Ac, Ab2a; Ab1Ac, bAd."
4,The yellow flail,A,"ab, b1c; de, fb1."
4,The yellow flail,B,"Ab3Ab3, Ab3a; Ab3Ab6, AfAb1."
4,The yellow flail,C,"ab, cAc; AdAe, AfAb1."
5,Kitty's rambles,A,"ab, b1c; ab, b1a1."
5,Kitty's rambles,B,"ab, cAa2; dd1, Ab1Aa1."
5,Kitty's rambles,C,"Ab4a, bc; Aa4Ab, Ab1Aa1."
5,Kitty's rambles,D,"aBb, bc; Ca1d, Ab1Aa1."
6,Doctor O'Neill,A,"ab, cd; ab, ce."
6,Doctor O'Neill,B,"AaAc1, Ab1Ad; AaAc1, Ab1Ae."
6,Doctor O'Neill,C,"Ba1a, a1b; Ba1a, a1c."
6,Doctor O'Neill,D,"Ba1Aa, aAd; Ba1Aa, Ab1Ae."
6,Doctor O'Neill,E,"Ae1Ae1, Ae1Ad; Ae1Ae1, AcAe."
7,Denis Delaney,A,"ab, ac; ab, ad."
7,Denis Delaney,B,"ab, cAc; ab, cAd."
7,Denis Delaney,C,"ab, aAc; BaBb, BcAd."
8,The walls of Liscarroll,A,"ab, bb; ab, bc."
8,The walls of Liscarroll,B,"AaAa, Ab1Ab; ab, AbAc."
9,The pipe on the hob,A,"ab, ca1; ad, ef."
9,The pipe on the hob,B,"ab, Acc; ab, AeAf."
9,The pipe on the hob,C,"Aaa, Aaa; a1b, AeAf."
10,Guiry's favorite,A,"ab, cd; ab, ef."
10,Guiry's favorite,B,"ab, cd; ab, AeAf."
11,Malowney's wife,A,"ab, cd; ae, c1f."
11,Malowney's wife,B,"aAf1, AcAd; aAd1, Ac1Af."
11,Malowney's wife,C,"Ba1a, bAd; Ba1a, bAf."
12,The gold ring,A,"aa, aa; ab, ca."
12,The gold ring,B,"aAa, aAa; aAb, AcAa."
12,The gold ring,C,"ab, Aa1c; ab, Aa1Aa."
12,The gold ring,D,"aa, aAa; aa, Ba3Aa."
12,The gold ring,E,"aAa, bCc1; bb, AcAa."
12,The gold ring,F,"ab, cAa; ab, cAa."
12,The gold ring,G,"ab, FcAa; ab, FcAa."
13,The humors of Bantry,A,"ab, cd; ab, ce."
13,The humors of Bantry,B,"aa, bc; a1Ae1, AcAe."
13,The humors of Bantry,B1,"aa, bc; a2c1, Ac1Ae."
14,Off to the hunt,A,"ab, cd; ae, fg."
14,Off to the hunt,B,"Ae1Ae1, Ag1a; Ac1Ae, a1Ag."
15,The highway to Dublin,A,"ab, ac; ad, ef."
15,The highway to Dublin,B,"Ad1Ab, Ad1Ac; Ad1Ac1, AeAf."
16,When sick is it tea you want?,A,"ab, ac; ab, b1d."
16,When sick is it tea you want?,B,"Ad1a, bc; AaAb, Ab1Ad."
17,The eavesdropper,A,"ab, a1c; ab, a1d."
17,The eavesdropper,B,"aAc1, Aa1Ac; aAc1, Aa1Ad."
18,Saddle the pony,A,"ab, ac; ad, ec1."
18,Saddle the pony,B,"ab, aAc1; aAd, AeAc1."
19,Humors of Glendart,A,"ab, ac; ab, de."
19,Humors of Glendart,B,"aAb1, ab; ac, AdAe."
20,Have a drink with me,A,"ab, ac; ab, ad."
20,Have a drink with me,B,"Ad1Aa1, Ad1a; bc, AaAd."
21,The hag with the money,A,"ab, cb; ab, db1."
21,The hag with the money,B,"ab, ac; ac, dAb1."
22,I know what you like,A,"aa1, bc; aa1, c1d."
22,I know what you like,B,"aAd, Aa1b; ac, Ac2Ad."
23,The night cap,A,"aa, bb; aa, cd."
23,The night cap,B,"ab, cd; aAa, AcAd."
24,The maid at the well,A,"ab, cd; ab, cb1."
24,The maid at the well,B,"ab, AcAd; ab, AcAb1."
25,Sergt. Early's jig,A,"ab, cd; ef, gh."
25,Sergt. Early's jig,B,"aa1, AcAd; aa1, AgAh."
26,Castle Donovan,A,"ab, cb1; ab, cd."
26,Castle Donovan,B,"ab, ac; AaAb, Ad1Ad."
27,Jackson's frieze coat,A,"ab, ac; ab, dc."
27,Jackson's frieze coat,B,"Ad1a, a1b; Ad1a, a1b."
27,Jackson's frieze coat,C,"Ac1Bb1, Ac2Ac2; Ac1Bb1, Ac2Bb."
28,Contentment is wealth,A,"aa1, bb1; cd, ef."
28,Contentment is wealth,B,"aAa1, AeAb1; ab, Aa2Af."
28,Contentment is wealth,C,"aAf, bAb; cd, Aa2Af."
29,Cherish the ladies,A,"ab, cb1; ab, de."
29,Cherish the ladies,B,"aAc1, AcAb1; aAc1, AdAe."
29,Cherish the ladies,C,"BaAc1, aAb1; Baa1, bAe."
29,Cherish the ladies,D,"Aa1Ac5, ab; Ae1Ae2, Ca1Ab1."
29,Cherish the ladies,E,"Ba1Aa3, aDb; Ae1Ae2, Ca1Ab1."
29,Cherish the ladies,F,"ab, aAb1; ca, Ca1Ab1."
30,Welcome to Cork,A,"ab, cd; ef, d1g."
30,Welcome to Cork,B,"aAe1, bc; aAe1, dAg."
31,The widow Brady,A,"ab, ac; ab, de."
31,The widow Brady,B,"ab, Aeb; Ae1c, db1."
32,The basket of Turf,A,"ab, ac; ab, a1c."
32,The basket of Turf,B,"ab, cd; cb, Aa1Ac."
33,Do you want anymore?,A,"ab, cd; eb, fg."
33,Do you want anymore?,B,"aAf, ab; cAb1, AfAg."
34,Galway Tom,A,"ab, ac; c1c2, b1d."
34,Galway Tom,B,"aa, bb; ca1, Ab1Ad."
34,Galway Tom,B1,"aa, bb; ca1, Ab1Ad."
34,Galway Tom,C,"Bb1Ab4, Bb1Ac3; Bb1Ab4, aAc3."
34,Galway Tom,D,"aBa, bBb; BcBa1, Ab1b1."
34,Galway Tom,D1,"aBa, bBb; BcBa1, Ab1Ad."
34,Galway Tom,E,"Ba5a, Ba5Ac; Ba5Bb4, Ab1Ad."
35,Money in both pockets,A,"ab, ac; ab, dd1."
35,Money in both pockets,B,"aAb1, aAa1; bc, dAd1."
