Tune, Part1, Bar1, Part2, Bar2, Delta
5, C, 0, C, 2, -12
25, A, 4, B, 0, 7
25, A, 4, B, 4, 7
31, A, 0, B, 1, 7
31, A, 2, B, 1, 7
31, A, 4, B, 1, 7
43, B, 3, B1, 7, -7
43, B1, 3, B1, 7, -7
47, A, 0, B, 0, 12
47, A, 2, B, 0, 12
47, A, 4, B, 0, 12
47, A, 0, B, 2, 12
47, A, 2, B, 2, 12
47, A, 4, B, 2, 12
48, A, 2, A, 4, 5
48, A, 2, B, 0, 5
48, A, 4, B, 2, -5
48, B, 0, B, 2, -5
48, A, 2, B, 4, 5
48, B, 2, B, 4, 5
50, B, 1, B, 3, -5
50, B, 3, B, 5, 5
50, B, 1, B, 7, -5
50, B, 5, B, 7, -5
50, B, 3, B1, 1, 5
50, B, 7, B1, 1, 5
50, B, 1, B1, 3, -5
50, B, 5, B1, 3, -5
50, B1, 1, B1, 3, -5
50, B, 3, B1, 5, 5
50, B, 7, B1, 5, 5
50, B1, 3, B1, 5, 5
60, A, 3, B, 3, 12
66, A, 0, A, 1, -2
66, A, 1, A, 4, 2
66, A, 0, A, 5, -2
66, A, 4, A, 5, -2
72, A, 4, B1, 4, 12
73, A, 6, B, 0, 5
73, A, 6, B, 2, 5
73, A, 6, B, 4, 5
73, B, 0, B, 6, -5
73, B, 2, B, 6, -5
73, B, 4, B, 6, -5
84, A, 0, B, 4, 12
84, A, 4, B, 4, 12
87, A, 1, B, 1, 5
95, A, 0, D, 4, 12
95, A, 4, D, 4, 12
95, B, 0, D, 4, 12
95, B, 4, D, 4, 12
112, A, 3, B, 3, 12
120, A, 0, A, 2, -2
120, A, 2, A, 4, 2
123, A, 0, B, 5, 12
123, A, 4, B, 5, 12
129, A, 0, B, 0, 12
129, A, 4, B, 0, 12
143, B, 3, B, 5, -5
168, A, 0, A, 1, -5
168, A, 1, A, 4, 5
168, A, 0, A, 5, -5
168, A, 4, A, 5, -5
181, A, 0, B, 0, 12
181, A, 4, B, 0, 12
181, A, 0, B, 4, 12
181, A, 4, B, 4, 12
181, A, 0, B1, 0, 12
181, A, 4, B1, 0, 12
185, A, 2, B, 4, 7
190, A, 0, B, 0, 12
190, A, 4, B, 0, 12
190, A, 0, B, 4, 12
190, A, 4, B, 4, 12
190, A, 0, B1, 0, 12
190, A, 4, B1, 0, 12
198, A, 2, B, 2, 12
198, A, 2, B, 4, 12
214, A, 0, O, 4, 12
214, A, 7, O, 4, 12
214, D, 7, O, 4, 12
214, B1, 6, O, 4, 12
214, H, 6, O, 4, 12
214, E1, 5, O, 4, 12
214, K, 5, O, 4, 12
214, I1, 4, O, 4, 12
214, A, 1, O, 5, 12
214, B, 0, O, 5, 12
214, B, 6, O, 5, 12
214, C, 6, O, 5, 12
214, B1, 0, O, 5, 12
214, B1, 7, O, 5, 12
214, E, 5, O, 5, 12
214, F, 5, O, 5, 12
214, H, 7, O, 5, 12
214, E1, 6, O, 5, 12
214, I, 4, O, 5, 12
214, J, 4, O, 5, 12
214, K, 6, O, 5, 12
214, I1, 5, O, 5, 12
214, L, 3, O, 5, 12
214, L1, 3, O, 5, 12
214, A, 3, O, 7, 12
214, B, 2, O, 7, 12
214, B1, 2, O, 7, 12
214, E, 1, O, 7, 12
214, E1, 1, O, 7, 12
214, I, 0, O, 7, 12
214, I1, 0, O, 7, 12
214, I1, 7, O, 7, 12
214, A, 0, P, 0, 12
214, A, 7, P, 0, 12
214, D, 7, P, 0, 12
214, B1, 6, P, 0, 12
214, H, 6, P, 0, 12
214, E1, 5, P, 0, 12
214, K, 5, P, 0, 12
214, I1, 4, P, 0, 12
214, O, 4, P, 4, -12
214, P, 0, P, 4, -12
214, O, 5, P, 5, -12
214, O, 7, P, 7, -12
214, O, 4, Q, 3, -12
214, P, 0, Q, 3, -12
214, O, 5, Q, 4, -12
214, O, 7, Q, 6, -12
214, O, 5, R, 2, -12
214, O, 5, R1, 2, -12
214, O, 4, Q1, 3, -12
214, P, 0, Q1, 3, -12
214, O, 5, Q1, 4, -12
214, O, 7, Q1, 6, -12
214, O, 4, T, 2, -12
214, P, 0, T, 2, -12
214, O, 5, T, 3, -12
214, O, 7, T, 5, -12
214, O, 5, U, 1, -12
214, O, 5, U1, 1, -12
214, O, 4, T1, 2, -12
214, P, 0, T1, 2, -12
214, O, 5, T1, 3, -12
214, O, 7, T1, 5, -12
214, O, 4, X, 1, -12
214, P, 0, X, 1, -12
214, O, 5, X, 2, -12
214, O, 7, X, 4, -12
214, O, 5, Y, 0, -12
214, O, 5, Y1, 0, -12
214, O, 4, X1, 1, -12
214, P, 0, X1, 1, -12
214, O, 5, X1, 2, -12
214, O, 7, X1, 4, -12
214, O, 4, A1, 0, -12
214, P, 0, A1, 0, -12
214, O, 5, A1, 1, -12
214, O, 7, A1, 3, -12
214, O, 5, A1, 7, -12
214, O, 5, [, 7, -12
214, A, 0, ^, 0, 12
214, A, 7, ^, 0, 12
214, D, 7, ^, 0, 12
214, B1, 6, ^, 0, 12
214, H, 6, ^, 0, 12
214, E1, 5, ^, 0, 12
214, K, 5, ^, 0, 12
214, I1, 4, ^, 0, 12
214, P, 4, ^, 0, 12
214, Q, 3, ^, 0, 12
214, Q1, 3, ^, 0, 12
214, T, 2, ^, 0, 12
214, T1, 2, ^, 0, 12
214, X, 1, ^, 0, 12
